Titre;Artiste;Album;Duree_min;Lectures;Minutes_totales;Has_Pochette;Rang_lectures;Rang_minutes;Rang_zscore;Rang_jessye;Artwork_URL;Lien_YouTube;Commentaire
Bastards Of Young;The Replacements;Tim;3.669;25;91.733;Oui;83;106;101;93;https://i.discogs.com/PAooMCLg5Zmlx7HbGUT2vJWcz8wqkIbrzedl34vhHXg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk5NTgz/OS0xMzc4MjY2NzEw/LTcwMTkuanBlZw.jpeg;https://www.youtube.com/watch?v=fl9KQ1Mub6Q;
Fare Thee Well, Miss Carousel;Townes Van Zandt;Townes Van Zandt;5.344;19;101.532;Non;165;81;123;184;https://i.discogs.com/w9ZRpE0sau3Ji8eikCfNj_TcSxt4S1ZSMdLXjcrpHaQ/rs:fit/g:sm/q:90/h:600/w:591/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNTI4/MjYtMTQyNDIwNDcy/My0yMjU5LmpwZWc.jpeg;https://www.youtube.com/watch?v=g4-3TPjRoSQ;
I Wanna Be Your Dog (1991 Longview Farm Acoustic Demo);Uncle Tupelo;March 16-20, 1992;3.867;29;112.13;Non;54;66;63;66;https://i.discogs.com/1MIbsDr34caG4tzUxm4Ob5KuJkUE_ZYhC9z9ypNHpwg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxNDY4/NjItMTM5ODQ2MTcy/NC04OTMwLmpwZWc.jpeg;https://www.youtube.com/watch?v=_wNtk4mea9A;
Sophie Stiquée;Vent du Mont Schärr;Vent du Mont Schärr;3.063;30;91.885;Oui;51;105;67;63;https://f4.bcbits.com/img/a2446659828_16.jpg;https://ventdumontscharr.bandcamp.com/track/sophie-stiqu-e-3;
Are You Sure Hank Done It This Way;Waylon Jennings;Grand Theft Auto V [Unofficial Soundtrack] Rebel Radio;2.635;31;81.679;Oui;47;130;66;59;https://i.discogs.com/yCpyScTJXQOTJt-SspmLVc4ZuLxwBHw08oR75edESUY/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDI4/NzI1LTE1MDczODg3/OTYtODQ4OC5qcGVn.jpeg;https://www.youtube.com/watch?v=6PLPmmfeNd4;
Atomic Bomb;William Onyeabor;*multiple*;7.993;27;215.817;Non;65;8;32;8;https://f4.bcbits.com/img/a0820551125_10.jpg;https://www.youtube.com/watch?v=t7UgkNDAUYQ;
Fantastic Man;William Onyeabor;*multiple*;6.489;54;290.389;Oui;6;3;5;1;https://f4.bcbits.com/img/a0820551125_10.jpg;https://www.youtube.com/watch?v=LBZltuHcpVo;
Whole Wide World;Wreckless Eric;Wreckless Eric;2.877;25;71.924;Non;83;166;120;93;https://i.discogs.com/-aduOB5fIBlKQ_QlHNqKGVzMDGxNP6l8c4B590ur09I/rs:fit/g:sm/q:90/h:444/w:442/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyMjg4/ODAtMTI3MTEwNDE4/NS5qcGVn.jpeg;https://www.youtube.com/watch?v=qHEPHPHuNis;
Los Angeles;X;*multiple*;2.415;32;77.11;Non;46;143;64;57;https://i.discogs.com/QNxzhdfAhJ-3gCq-4p52FM0Jlw_7tp3jlPQqttaNbf8/rs:fit/g:sm/q:90/h:495/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMTE3/ODktMTE5Mjk3MDUw/MC5qcGVn.jpeg;https://www.youtube.com/watch?v=ZKp1TjP__rg;
Wyclef Jean;Young Thug;No, My Name is JEFFERY;3.938;27;106.332;Oui;65;77;75;77;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9QMgkBvmUjId7FlF5NtozAg52I7uMUdBVMA&s;https://www.youtube.com/watch?v=3x3g8BGH_io;
Gimme All Your Lovin';ZZ Top;Eliminator;4.067;27;109.812;Non;65;71;73;77;https://i.discogs.com/TuTbqgTH7YS2W8IpCshpAW7lOT3yDGJtt8CP9HCkDns/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MTI5/MzEtMTM0ODc1MTc4/OC0yMjk2LmpwZWc.jpeg;https://www.youtube.com/watch?v=Ae829mFAGGE;
La Grange;ZZ Top;*multiple*;3.872;29;112.276;Oui;54;65;62;66;https://i.discogs.com/DhaDP_lKJyZfvoKnkS1J5msdsjnEJaiKLzbwNu0KTU8/rs:fit/g:sm/q:90/h:497/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNjM0/NzItMTM0ODg0Mzc4/OS05MTU3LmpwZWc.jpeg;https://www.youtube.com/watch?v=Vppbdf-qtGU;
いつか;山下達郎;Ride on Time;5.817;24;139.609;Oui;97;34;65;107;https://i.discogs.com/nptjQiGXUQFWjDYsEDWxBEHb2UDirmMaUihWMHKSVz0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MzAx/MDc0LTE2OTQxNzg2/ODktMjE5MS5qcGVn.jpeg;https://www.youtube.com/watch?v=iS5BsYHbUR0;
ＲＩＤＥ　ＯＮ　ＴＩＭＥ（アルバム・ヴァージョン）;山下達郎;Ride on Time;5.914;37;218.806;Oui;28;7;17;38;https://i.discogs.com/nptjQiGXUQFWjDYsEDWxBEHb2UDirmMaUihWMHKSVz0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MzAx/MDc0LTE2OTQxNzg2/ODktMjE5MS5qcGVn.jpeg;https://www.youtube.com/watch?v=szIn2pCAnCs;
